        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-02 08:00:45 ,        1506.0   ,           2003.4   ,               36.9   ,        47.9   ,              27   ,                1095   ,            183   ,          0   ,                        0   ,                   0   ,                    0   ,               33.5   ,                   9.5   ,              23.3   ,                12.0   ,              9.5   ,               12.1   ,                        22.1   ,              16   ,        0.7810   ,               47.4   ,                  2380   ,
2021-07-02 08:00:46 ,        1506.0   ,           2003.4   ,               37.1   ,        48.1   ,              27   ,                1095   ,            183   ,          0   ,                        0   ,                   0   ,                    0   ,               33.5   ,                   9.5   ,              23.3   ,                12.0   ,              9.5   ,               12.1   ,                        22.2   ,              16   ,        0.7810   ,               45.8   ,                  2382   ,
2021-07-02 08:00:47 ,         949.0   ,           2003.4   ,               36.8   ,        47.8   ,              27   ,                1095   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               29.5   ,                   5.6   ,              23.2   ,                12.0   ,              5.6   ,               12.1   ,                        19.5   ,              16   ,        0.6250   ,               44.3   ,                  2382   ,
2021-07-02 08:00:48 ,         949.0   ,           2003.4   ,               37.0   ,        48.0   ,              27   ,                1096   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               29.4   ,                   5.6   ,              23.2   ,                12.0   ,              5.6   ,               12.1   ,                        19.5   ,              16   ,        0.6250   ,               42.6   ,                  2381   ,
2021-07-02 08:00:49 ,         949.0   ,           2003.4   ,               37.1   ,        48.1   ,              27   ,                1097   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               29.3   ,                   5.6   ,              23.0   ,                12.0   ,              5.6   ,               12.1   ,                        19.5   ,              16   ,        0.6250   ,               41.1   ,                  2380   ,
2021-07-02 08:00:50 ,         949.0   ,           1901.2   ,               37.0   ,        48.0   ,              27   ,                1099   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               28.6   ,                   5.3   ,              22.5   ,                12.0   ,              5.3   ,               12.1   ,                        18.9   ,              16   ,        0.6250   ,               39.5   ,                  2380   ,
2021-07-02 08:00:51 ,         949.0   ,           1901.2   ,               37.1   ,        48.1   ,              27   ,                1100   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               28.7   ,                   5.3   ,              22.6   ,                12.0   ,              5.3   ,               12.1   ,                        19.0   ,              16   ,        0.6250   ,               38.0   ,                  2380   ,
2021-07-02 08:00:52 ,         949.0   ,           1901.2   ,               37.2   ,        48.2   ,              27   ,                1099   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               28.6   ,                   5.3   ,              22.4   ,                12.0   ,              5.3   ,               12.1   ,                        18.8   ,              16   ,        0.6250   ,               36.5   ,                  2380   ,
2021-07-02 08:00:53 ,         759.0   ,            405.0   ,               37.0   ,        48.0   ,              27   ,                1106   ,            183   ,          1   ,                        1   ,                   0   ,                    0   ,                9.9   ,                   3.6   ,               5.6   ,                12.1   ,              3.6   ,               12.1   ,                         6.6   ,              16   ,        0.6250   ,               35.0   ,                  2379   ,
2021-07-02 08:00:54 ,         759.0   ,            405.0   ,               36.8   ,        47.8   ,              27   ,                1108   ,            183   ,          1   ,                        1   ,                   0   ,                    0   ,               10.4   ,                   3.6   ,               6.1   ,                12.1   ,              3.6   ,               12.1   ,                         6.9   ,              16   ,        0.6250   ,               34.3   ,                  2379   ,
2021-07-02 08:00:55 ,         189.5   ,            202.5   ,               36.8   ,        47.8   ,              27   ,                1106   ,            183   ,          1   ,                        2   ,                   0   ,                    0   ,                8.4   ,                   3.1   ,               4.5   ,                12.1   ,              3.1   ,               12.1   ,                         5.6   ,              16   ,        0.6250   ,               34.1   ,                  2379   ,
2021-07-02 08:00:56 ,         189.5   ,            202.5   ,               36.7   ,        47.7   ,              27   ,                1106   ,            183   ,          1   ,                        2   ,                   0   ,                    0   ,                8.8   ,                   3.1   ,               4.9   ,                12.1   ,              3.1   ,               12.1   ,                         5.8   ,              16   ,        0.6250   ,               33.8   ,                  2379   ,
2021-07-02 08:00:57 ,         189.5   ,            202.5   ,               36.9   ,        47.9   ,              27   ,                1105   ,            183   ,          1   ,                        2   ,                   0   ,                    0   ,                8.5   ,                   3.1   ,               4.6   ,                12.1   ,              3.1   ,               12.1   ,                         5.6   ,              16   ,        0.6250   ,               33.5   ,                  2379   ,
2021-07-02 08:00:58 ,         139.0   ,            202.5   ,               36.8   ,        47.8   ,              27   ,                1104   ,            183   ,          1   ,                        2   ,                   0   ,                    0   ,                8.9   ,                   3.4   ,               4.8   ,                12.1   ,              3.4   ,               12.1   ,                         5.9   ,              16   ,        0.6250   ,               33.4   ,                  2379   ,
2021-07-02 08:00:59 ,         139.0   ,            202.5   ,               36.8   ,        47.8   ,              27   ,                1104   ,            183   ,          1   ,                        2   ,                   0   ,                    0   ,                8.5   ,                   3.1   ,               4.6   ,                12.1   ,              3.1   ,               12.1   ,                         5.6   ,              16   ,        0.6250   ,               33.4   ,                  2379   ,
