        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-16 16:38:02 ,        1045.2   ,           1752.8   ,               41.0   ,              41   ,                1350   ,            124   ,          0   ,                        0   ,                   0   ,                    0   ,                    54.5   ,                        23.9   ,              16   , 1.1120   ,               57.5   ,                  2415   ,
2021-03-16 16:38:03 ,        1045.2   ,           1752.8   ,               42.0   ,              41   ,                1320   ,            124   ,          0   ,                        0   ,                   0   ,                    0   ,                    54.6   ,                        24.0   ,              16   , 1.1120   ,               55.9   ,                  2416   ,
2021-03-16 16:38:04 ,         810.0   ,           1752.8   ,               41.0   ,              41   ,                1320   ,            124   ,          1   ,                        0   ,                   0   ,                    0   ,                    49.0   ,                        21.5   ,              16   , 0.9620   ,               54.4   ,                  2414   ,
2021-03-16 16:38:05 ,         810.0   ,           1752.8   ,               41.0   ,              41   ,                1350   ,            124   ,          1   ,                        0   ,                   0   ,                    0   ,                    49.0   ,                        21.5   ,              16   , 0.9620   ,               52.8   ,                  2413   ,
2021-03-16 16:38:06 ,         810.0   ,           1752.8   ,               41.0   ,              41   ,                1350   ,            124   ,          1   ,                        0   ,                   0   ,                    0   ,                    49.0   ,                        21.5   ,              16   , 0.9620   ,               51.3   ,                  2413   ,
2021-03-16 16:38:07 ,         810.0   ,            405.0   ,               39.0   ,              41   ,                1350   ,            124   ,          1   ,                        1   ,                   0   ,                    0   ,                    26.9   ,                        11.8   ,              16   , 0.9620   ,               49.6   ,                  2413   ,
2021-03-16 16:38:08 ,         810.0   ,            405.0   ,               39.0   ,              41   ,                1350   ,            124   ,          1   ,                        1   ,                   0   ,                    0   ,                    26.8   ,                        11.7   ,              16   , 0.9620   ,               48.1   ,                  2413   ,
2021-03-16 16:38:09 ,         180.0   ,            162.0   ,               39.0   ,              41   ,                1380   ,            124   ,          1   ,                        2   ,                   0   ,                    0   ,                    26.8   ,                        11.7   ,              16   , 0.9620   ,               46.5   ,                  2407   ,
2021-03-16 16:38:10 ,         180.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            124   ,          2   ,                        3   ,                   0   ,                    0   ,                    13.3   ,                         5.8   ,              16   , 0.9620   ,               45.0   ,                  2391   ,
2021-03-16 16:38:11 ,         180.0   ,            162.0   ,               38.0   ,              41   ,                1380   ,            124   ,          3   ,                        4   ,                   0   ,                    0   ,                    13.3   ,                         5.8   ,              16   , 0.9620   ,               43.5   ,                  2383   ,
2021-03-16 16:38:12 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            124   ,          2   ,                        3   ,                   0   ,                    0   ,                    13.3   ,                         5.8   ,              16   , 0.9620   ,               42.1   ,                  2383   ,
2021-03-16 16:38:13 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1320   ,            124   ,          2   ,                        3   ,                   0   ,                    0   ,                    13.3   ,                         5.8   ,              16   , 0.9620   ,               41.0   ,                  2383   ,
2021-03-16 16:38:14 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            124   ,          3   ,                        4   ,                   0   ,                    0   ,                    13.3   ,                         5.8   ,              16   , 0.9620   ,               39.9   ,                  2381   ,
2021-03-16 16:38:15 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            124   ,          3   ,                        4   ,                   0   ,                    0   ,                    13.6   ,                         6.0   ,              16   , 0.9620   ,               39.3   ,                  2380   ,
2021-03-16 16:38:16 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            124   ,          2   ,                        3   ,                   0   ,                    0   ,                    13.4   ,                         5.9   ,              16   , 0.9620   ,               38.9   ,                  2379   ,
2021-03-16 16:38:17 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1380   ,            124   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               38.1   ,                  2378   ,
