        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDQ Power Draw [W] , PCIe Slot Power [W] , 6-Pin #1 Power [W] , 8-Pin #1 Power [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-01 12:58:14 ,        1045.2   ,           1752.8   ,               42.0   ,              41   ,                1350   ,            160   ,          0   ,                        0   ,                   0   ,                    0   ,               54.6   ,                  15.1   ,               30.6   ,              35.6   ,              5.6   ,              9.4   ,                        24.0   ,              16   , 1.1120   ,               50.3   ,                  2409   ,
2021-07-01 12:58:15 ,        1045.2   ,           1752.8   ,               42.0   ,              41   ,                1380   ,            160   ,          1   ,                        0   ,                   0   ,                    0   ,               54.8   ,                  15.3   ,               30.6   ,              35.6   ,              5.7   ,              9.5   ,                        24.0   ,              16   , 1.1120   ,               48.6   ,                  2408   ,
2021-07-01 12:58:16 ,         810.0   ,           1752.8   ,               42.0   ,              41   ,                1350   ,            160   ,          0   ,                        0   ,                   0   ,                    0   ,               49.4   ,                   9.9   ,               30.6   ,              35.6   ,              3.8   ,              6.0   ,                        21.7   ,              16   , 0.9620   ,               47.1   ,                  2408   ,
2021-07-01 12:58:17 ,         810.0   ,           1752.8   ,               41.0   ,              41   ,                1350   ,            160   ,          1   ,                        0   ,                   0   ,                    0   ,               49.0   ,                   9.5   ,               30.5   ,              35.5   ,              3.7   ,              5.7   ,                        21.5   ,              16   , 0.9620   ,               45.5   ,                  2407   ,
2021-07-01 12:58:18 ,         810.0   ,           1752.8   ,               41.0   ,              41   ,                1380   ,            160   ,          1   ,                        0   ,                   0   ,                    0   ,               49.0   ,                   9.5   ,               30.6   ,              35.6   ,              3.7   ,              5.7   ,                        21.5   ,              16   , 0.9620   ,               44.0   ,                  2407   ,
2021-07-01 12:58:19 ,         810.0   ,            405.0   ,               40.0   ,              41   ,                1350   ,            160   ,          1   ,                        1   ,                   0   ,                    0   ,               27.0   ,                   6.6   ,               11.4   ,              16.4   ,              2.5   ,              4.1   ,                        11.8   ,              16   , 0.9620   ,               42.9   ,                  2407   ,
2021-07-01 12:58:20 ,         810.0   ,            405.0   ,               40.0   ,              41   ,                1380   ,            160   ,          1   ,                        1   ,                   0   ,                    0   ,               26.8   ,                   6.5   ,               11.3   ,              16.3   ,              2.5   ,              4.0   ,                        11.7   ,              16   , 0.9620   ,               41.6   ,                  2403   ,
2021-07-01 12:58:21 ,         810.0   ,            405.0   ,               39.0   ,              41   ,                1350   ,            160   ,          1   ,                        1   ,                   0   ,                    0   ,               26.8   ,                   6.5   ,               11.3   ,              16.3   ,              2.5   ,              4.0   ,                        11.7   ,              16   , 0.9620   ,               40.3   ,                  2403   ,
2021-07-01 12:58:22 ,         180.0   ,            162.0   ,               39.0   ,              41   ,                1350   ,            160   ,          2   ,                        3   ,                   0   ,                    0   ,               13.6   ,                   2.4   ,                2.2   ,               7.2   ,              0.0   ,              2.4   ,                         6.0   ,              16   , 0.9620   ,               39.8   ,                  2391   ,
2021-07-01 12:58:23 ,         180.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            160   ,          2   ,                        3   ,                   0   ,                    0   ,               13.5   ,                   2.4   ,                2.1   ,               7.1   ,              0.0   ,              2.4   ,                         5.9   ,              16   , 0.9620   ,               39.4   ,                  2390   ,
2021-07-01 12:58:24 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            160   ,          3   ,                        4   ,                   0   ,                    0   ,               13.5   ,                   2.4   ,                2.1   ,               7.1   ,              0.0   ,              2.4   ,                         5.9   ,              16   , 0.9620   ,               39.1   ,                  2389   ,
2021-07-01 12:58:25 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1380   ,            160   ,          3   ,                        3   ,                   0   ,                    0   ,               14.2   ,                   2.5   ,                2.7   ,               7.7   ,              0.0   ,              2.5   ,                         6.2   ,              16   , 0.9620   ,               39.1   ,                  2389   ,
2021-07-01 12:58:26 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            160   ,          3   ,                        3   ,                   0   ,                    0   ,               14.1   ,                   2.5   ,                2.6   ,               7.6   ,              0.0   ,              2.5   ,                         6.2   ,              16   , 0.9620   ,               39.1   ,                  2388   ,
2021-07-01 12:58:27 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            160   ,          3   ,                        3   ,                   0   ,                    0   ,               13.7   ,                   2.4   ,                2.3   ,               7.3   ,              0.0   ,              2.4   ,                         6.0   ,              16   , 0.9620   ,               39.1   ,                  2388   ,
2021-07-01 12:58:28 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            160   ,          3   ,                        3   ,                   0   ,                    0   ,               13.9   ,                   2.4   ,                2.5   ,               7.5   ,              0.0   ,              2.4   ,                         6.1   ,              16   , 0.9620   ,               39.1   ,                  2387   ,
2021-07-01 12:58:29 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            160   ,          1   ,                        3   ,                   0   ,                    0   ,               13.9   ,                   2.4   ,                2.5   ,               7.5   ,              0.0   ,              2.4   ,                         6.1   ,              16   , 0.9620   ,               38.8   ,                  2387   ,
2021-07-01 12:58:30 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1380   ,            160   ,          1   ,                        3   ,                   0   ,                    0   ,               13.1   ,                   2.2   ,                2.0   ,               7.0   ,              0.0   ,              2.2   ,                         5.8   ,              16   , 0.9620   ,               38.6   ,                  2386   ,
2021-07-01 12:58:31 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            160   ,          1   ,                        3   ,                   0   ,                    0   ,               12.9   ,                   2.3   ,                1.7   ,               6.7   ,              0.0   ,              2.3   ,                         5.7   ,              16   , 0.9620   ,               50.9   ,                  2394   ,
2021-07-01 12:58:32 ,         135.0   ,            162.0   ,               38.0   ,              41   ,                1350   ,            160   ,          1   ,                        3   ,                   0   ,                    0   ,               13.1   ,                   2.2   ,                2.0   ,               7.0   ,              0.0   ,              2.2   ,                         5.8   ,              16   , 0.9620   ,               49.4   ,                  2387   ,
