        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-16 13:17:51 ,        1126.0   ,           1752.8   ,               37.0   ,              26   ,                1108   ,            110   ,          0   ,                        0   ,                   0   ,                    0   ,                    47.6   ,                        26.5   ,              16   , 1.0250   ,               51.5   ,                  2568   ,
2021-03-16 13:17:52 ,        1126.0   ,           1752.8   ,               37.0   ,              26   ,                1106   ,            110   ,          0   ,                        0   ,                   0   ,                    0   ,                    47.5   ,                        26.4   ,              16   , 1.0250   ,               49.9   ,                  2567   ,
2021-03-16 13:17:53 ,         911.3   ,           1502.3   ,               37.0   ,              26   ,                1106   ,            110   ,          0   ,                        0   ,                   0   ,                    0   ,                    47.0   ,                        26.1   ,              16   , 0.9870   ,               48.4   ,                  2567   ,
2021-03-16 13:17:54 ,         911.3   ,           1502.3   ,               37.0   ,              26   ,                1108   ,            110   ,          0   ,                        0   ,                   0   ,                    0   ,                    43.7   ,                        24.3   ,              16   , 0.9870   ,               46.8   ,                  2562   ,
2021-03-16 13:17:55 ,         911.3   ,           1502.3   ,               37.0   ,              26   ,                1107   ,            110   ,          0   ,                        0   ,                   0   ,                    0   ,                    43.7   ,                        24.3   ,              16   , 0.9870   ,               45.3   ,                  2562   ,
2021-03-16 13:17:56 ,         734.1   ,            405.0   ,               37.0   ,              26   ,                1114   ,            110   ,          1   ,                        1   ,                   0   ,                    0   ,                    20.2   ,                        11.2   ,              16   , 0.8500   ,               43.6   ,                  2562   ,
2021-03-16 13:17:57 ,         734.1   ,            405.0   ,               37.0   ,              26   ,                1121   ,            110   ,          1   ,                        1   ,                   0   ,                    0   ,                    19.3   ,                        10.7   ,              16   , 0.8500   ,               42.1   ,                  2562   ,
2021-03-16 13:17:58 ,         734.1   ,            405.0   ,               37.0   ,              26   ,                1123   ,            110   ,          1   ,                        1   ,                   0   ,                    0   ,                    19.3   ,                        10.7   ,              16   , 0.8500   ,               40.5   ,                  2561   ,
2021-03-16 13:17:59 ,         162.0   ,            162.0   ,               36.0   ,              26   ,                1122   ,            110   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.4   ,                         9.1   ,              16   , 0.8500   ,               39.0   ,                  2562   ,
2021-03-16 13:18:00 ,         162.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.5   ,                         9.1   ,              16   , 0.8500   ,               37.5   ,                  2562   ,
2021-03-16 13:18:01 ,         162.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.4   ,                         9.1   ,              16   , 0.8500   ,               36.3   ,                  2561   ,
2021-03-16 13:18:02 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               35.0   ,                  2562   ,
2021-03-16 13:18:03 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.5   ,                         9.1   ,              16   , 0.8500   ,               34.4   ,                  2562   ,
2021-03-16 13:18:04 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               33.6   ,                  2561   ,
2021-03-16 13:18:05 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          3   ,                        3   ,                   0   ,                    0   ,                    16.4   ,                         9.1   ,              16   , 0.8500   ,               33.3   ,                  2561   ,
2021-03-16 13:18:06 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.1   ,                         8.9   ,              16   , 0.8500   ,               33.1   ,                  2561   ,
2021-03-16 13:18:07 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          0   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:08 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:09 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:10 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1125   ,            110   ,          0   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.6   ,                  2554   ,
2021-03-16 13:18:11 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:12 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:13 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:14 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               32.6   ,                  2554   ,
2021-03-16 13:18:15 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          0   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:16 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          0   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:17 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               32.5   ,                  2554   ,
2021-03-16 13:18:18 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2554   ,
2021-03-16 13:18:19 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.8   ,                  2552   ,
2021-03-16 13:18:20 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1124   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               32.5   ,                  2552   ,
2021-03-16 13:18:21 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               32.6   ,                  2552   ,
2021-03-16 13:18:22 ,         135.0   ,            162.0   ,               36.0   ,              26   ,                1123   ,            110   ,          0   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               32.5   ,                  2552   ,
