        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-16 21:40:17 ,        1515.0   ,           1750.0   ,               34.0   ,                41   ,                  1497   ,                41   ,                  1500   ,            245   ,          1   ,                        0   ,                   0   ,                    0   ,                    31.9   ,                        14.2   ,              16   , 0.7500   ,               53.8   ,                  2529   ,
2021-03-16 21:40:18 ,        1515.0   ,           1750.0   ,               34.0   ,                41   ,                  1500   ,                41   ,                  1500   ,            251   ,          0   ,                        0   ,                   0   ,                    0   ,                    32.0   ,                        14.2   ,              16   , 0.7500   ,               53.5   ,                  2580   ,
2021-03-16 21:40:19 ,        1515.0   ,           1750.0   ,               35.0   ,                41   ,                  1500   ,                41   ,                  1501   ,            274   ,          1   ,                        0   ,                   0   ,                    0   ,                    31.9   ,                        14.2   ,              16   , 0.7500   ,               53.5   ,                  2630   ,
2021-03-16 21:40:20 ,        1515.0   ,           1750.0   ,               34.0   ,                41   ,                  1501   ,                41   ,                  1500   ,            274   ,          1   ,                        0   ,                   0   ,                    0   ,                    31.8   ,                        14.1   ,              16   , 0.7500   ,               53.3   ,                  2629   ,
2021-03-16 21:40:21 ,         420.0   ,            101.3   ,               34.0   ,                41   ,                  1500   ,                41   ,                  1498   ,            274   ,          2   ,                        0   ,                   0   ,                    0   ,                     3.2   ,                         1.4   ,              16   , 0.7180   ,               53.0   ,                  2624   ,
2021-03-16 21:40:22 ,         315.0   ,            101.3   ,               33.0   ,                41   ,                  1500   ,                41   ,                  1499   ,            274   ,          3   ,                        2   ,                   0   ,                    0   ,                     3.6   ,                         1.6   ,              16   , 0.7180   ,               52.8   ,                  2627   ,
2021-03-16 21:40:23 ,         315.0   ,            101.3   ,               33.0   ,                41   ,                  1500   ,                41   ,                  1503   ,            274   ,          4   ,                        3   ,                   0   ,                    0   ,                     3.4   ,                         1.5   ,              16   , 0.7180   ,               52.5   ,                  2624   ,
2021-03-16 21:40:24 ,         300.0   ,            101.3   ,               33.0   ,                41   ,                  1499   ,                41   ,                  1501   ,            274   ,          5   ,                        3   ,                   0   ,                    0   ,                     3.4   ,                         1.5   ,              16   , 0.7180   ,               52.3   ,                  2624   ,
2021-03-16 21:40:25 ,         300.0   ,            101.3   ,               33.0   ,                41   ,                  1501   ,                41   ,                  1496   ,            274   ,          5   ,                        3   ,                   0   ,                    0   ,                     3.3   ,                         1.5   ,              16   , 0.7180   ,               52.1   ,                  2625   ,
2021-03-16 21:40:26 ,         300.0   ,            101.3   ,               33.0   ,                41   ,                  1502   ,                41   ,                  1500   ,            274   ,          5   ,                        3   ,                   0   ,                    0   ,                     3.3   ,                         1.5   ,              16   , 0.7180   ,               52.0   ,                  2622   ,
