        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU only Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-17 11:53:59 ,          26.0   ,            171.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          0   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               56.8   ,                  2953   ,
2021-03-17 11:54:00 ,          26.0   ,            194.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          7   ,                        443   ,                      181   ,                   9.0   , 0.7813   ,               55.1   ,                  2954   ,
2021-03-17 11:54:01 ,          26.0   ,            186.0   ,          33.0   ,               39.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          2   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               53.6   ,                  2953   ,
2021-03-17 11:54:02 ,          26.0   ,            192.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          7   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               52.0   ,                  2963   ,
2021-03-17 11:54:03 ,          26.0   ,            191.0   ,          33.0   ,               42.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          4   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               50.5   ,                  2963   ,
2021-03-17 11:54:04 ,          26.0   ,            179.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          7   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               48.9   ,                  2960   ,
2021-03-17 11:54:05 ,          26.0   ,            186.0   ,          33.0   ,               42.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          2   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               47.4   ,                  2959   ,
2021-03-17 11:54:06 ,          26.0   ,            192.0   ,          33.0   ,               41.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          5   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               45.9   ,                  2955   ,
2021-03-17 11:54:07 ,          26.0   ,            189.0   ,          33.0   ,               41.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          6   ,                        443   ,                      181   ,                   9.0   , 0.7813   ,               44.3   ,                  2954   ,
2021-03-17 11:54:08 ,          26.0   ,            187.0   ,          33.0   ,               42.0   ,                          42.0   ,                  45.0   ,                   41.0   ,                   41.0   ,                   44.0   ,              28   ,                   0   ,          2   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               42.8   ,                  2952   ,
2021-03-17 11:54:09 ,          26.0   ,            187.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   41.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          2   ,                        443   ,                      181   ,                   8.0   , 0.8313   ,               41.3   ,                  2950   ,
2021-03-17 11:54:10 ,          26.0   ,            185.0   ,          33.0   ,               42.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          1   ,                        443   ,                      181   ,                   8.0   , 0.8313   ,               39.8   ,                  2950   ,
2021-03-17 11:54:11 ,          26.0   ,            188.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          2   ,                        443   ,                      181   ,                   8.0   , 0.8313   ,               39.1   ,                  2955   ,
2021-03-17 11:54:12 ,          26.0   ,            193.0   ,          33.0   ,               39.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          3   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               39.1   ,                  2954   ,
2021-03-17 11:54:13 ,          26.0   ,            190.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          4   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               39.1   ,                  2954   ,
2021-03-17 11:54:14 ,          26.0   ,            195.0   ,          33.0   ,               42.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          7   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               39.1   ,                  2952   ,
2021-03-17 11:54:15 ,          26.0   ,            181.0   ,          33.0   ,               42.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          5   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               48.0   ,                  2943   ,
2021-03-17 11:54:16 ,          26.0   ,            174.0   ,          33.0   ,               42.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          0   ,                        443   ,                      181   ,                   9.0   , 0.7813   ,               46.4   ,                  2943   ,
2021-03-17 11:54:17 ,          26.0   ,            170.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          0   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               44.9   ,                  2943   ,
2021-03-17 11:54:18 ,          26.0   ,            175.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          6   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               43.3   ,                  2942   ,
2021-03-17 11:54:19 ,          26.0   ,            176.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          1   ,                        443   ,                      181   ,                   9.0   , 0.7813   ,               41.6   ,                  2951   ,
2021-03-17 11:54:20 ,          26.0   ,            171.0   ,          33.0   ,               41.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   44.0   ,              28   ,                   0   ,          0   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               40.1   ,                  2950   ,
2021-03-17 11:54:21 ,          26.0   ,            170.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   43.0   ,              28   ,                   0   ,          0   ,                        443   ,                      181   ,                   8.0   , 0.7813   ,               39.3   ,                  2948   ,
2021-03-17 11:54:22 ,          26.0   ,            170.0   ,          33.0   ,               42.0   ,                          42.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   43.0   ,              28   ,                   0   ,          0   ,                        443   ,                      181   ,                   9.0   , 0.7813   ,               39.0   ,                  2948   ,
2021-03-17 11:54:23 ,          26.0   ,            174.0   ,          33.0   ,               41.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   43.0   ,              28   ,                   0   ,          2   ,                        443   ,                      181   ,                   9.0   , 0.7813   ,               38.9   ,                  2946   ,
2021-03-17 11:54:24 ,          26.0   ,            175.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   43.0   ,              28   ,                   0   ,          0   ,                        443   ,                      181   ,                   9.0   , 0.7813   ,               38.5   ,                  2944   ,
2021-03-17 11:54:25 ,          26.0   ,            183.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   43.0   ,              28   ,                   0   ,          1   ,                        443   ,                      118   ,                   9.0   , 0.7813   ,               38.3   ,                  2944   ,
2021-03-17 11:54:26 ,          26.0   ,            183.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   43.0   ,              28   ,                   0   ,          4   ,                        443   ,                      118   ,                   8.0   , 0.7813   ,               38.0   ,                  2943   ,
2021-03-17 11:54:27 ,          26.0   ,            173.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   43.0   ,              28   ,                   0   ,          0   ,                        443   ,                      118   ,                   8.0   , 0.7813   ,               38.0   ,                  2943   ,
2021-03-17 11:54:28 ,          26.0   ,            171.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   42.0   ,                   43.0   ,              28   ,                   0   ,          0   ,                        443   ,                      118   ,                   8.0   , 0.7813   ,               38.0   ,                  2943   ,
2021-03-17 11:54:29 ,          26.0   ,            171.0   ,          33.0   ,               41.0   ,                          41.0   ,                  45.0   ,                   42.0   ,                   41.0   ,                   43.0   ,              28   ,                   0   ,          0   ,                        443   ,                      118   ,                   8.0   , 0.7813   ,               38.0   ,                  2941   ,
2021-03-17 11:54:30 ,          26.0   ,            175.0   ,          33.0   ,               42.0   ,                          41.0   ,                  45.0   ,                   41.0   ,                   41.0   ,                   43.0   ,              28   ,                   0   ,          1   ,                        443   ,                      118   ,                   8.0   , 0.7813   ,               38.0   ,                  2940   ,
