        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-03 09:36:08 ,          26.0   ,            169.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   6.0   , 0.7813   ,               54.1   ,                  3499   ,
2021-07-03 09:36:09 ,          26.0   ,            195.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               52.6   ,                  3498   ,
2021-07-03 09:36:10 ,          26.0   ,            189.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               51.0   ,                  3498   ,
2021-07-03 09:36:11 ,          26.0   ,            188.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               49.5   ,                  3497   ,
2021-07-03 09:36:12 ,          26.0   ,            186.0   ,          33.0   ,               37.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               47.9   ,                  3498   ,
2021-07-03 09:36:13 ,          26.0   ,            185.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               46.4   ,                  3497   ,
2021-07-03 09:36:14 ,          26.0   ,            187.0   ,          33.0   ,               35.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               44.8   ,                  3497   ,
2021-07-03 09:36:15 ,          26.0   ,            185.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               43.3   ,                  3497   ,
2021-07-03 09:36:16 ,          26.0   ,            185.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               41.6   ,                  3497   ,
2021-07-03 09:36:17 ,          26.0   ,            186.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               40.1   ,                  3497   ,
2021-07-03 09:36:18 ,          26.0   ,            186.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               38.9   ,                  3497   ,
2021-07-03 09:36:19 ,          26.0   ,            187.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               38.0   ,                  3497   ,
2021-07-03 09:36:20 ,          26.0   ,            194.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               37.5   ,                  3496   ,
2021-07-03 09:36:21 ,          26.0   ,            184.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          1   ,                       1413   ,                      104   ,                   6.0   , 0.7813   ,               37.3   ,                  3496   ,
2021-07-03 09:36:22 ,          26.0   ,            185.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               37.0   ,                  3496   ,
