        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU only Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-08 12:26:08 ,          26.0   ,            167.0   ,          33.0   ,               48.0   ,                          48.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          0   ,                        241   ,                       70   ,                   5.0   , 0.7500   ,               58.3   ,                  2965   ,
2021-03-08 12:26:09 ,          26.0   ,            186.0   ,          33.0   ,               48.0   ,                          48.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          2   ,                        241   ,                       70   ,                   5.0   , 0.7500   ,               56.6   ,                  2965   ,
2021-03-08 12:26:10 ,          26.0   ,            188.0   ,          33.0   ,               48.0   ,                          48.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          3   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               55.1   ,                  2964   ,
2021-03-08 12:26:11 ,          26.0   ,            190.0   ,          33.0   ,               48.0   ,                          48.0   ,                  51.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          4   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               53.5   ,                  2964   ,
2021-03-08 12:26:12 ,          26.0   ,            187.0   ,          33.0   ,               48.0   ,                          47.0   ,                  51.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          5   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               52.0   ,                  2964   ,
2021-03-08 12:26:13 ,          26.0   ,            188.0   ,          33.0   ,               48.0   ,                          48.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          4   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               50.4   ,                  2963   ,
2021-03-08 12:26:14 ,          26.0   ,            189.0   ,          33.0   ,               48.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          5   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               48.9   ,                  2963   ,
2021-03-08 12:26:15 ,          26.0   ,            193.0   ,          33.0   ,               48.0   ,                          48.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          7   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               47.3   ,                  2962   ,
2021-03-08 12:26:16 ,          26.0   ,            188.0   ,          33.0   ,               48.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          4   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               45.8   ,                  2962   ,
2021-03-08 12:26:17 ,          26.0   ,            188.0   ,          33.0   ,               48.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          4   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               44.3   ,                  2960   ,
2021-03-08 12:26:18 ,          26.0   ,            187.0   ,          33.0   ,               46.0   ,                          48.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          3   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               42.8   ,                  2961   ,
2021-03-08 12:26:19 ,          26.0   ,            195.0   ,          33.0   ,               48.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          4   ,                        241   ,                       70   ,                   5.0   , 0.7500   ,               41.4   ,                  2961   ,
2021-03-08 12:26:20 ,          26.0   ,            196.0   ,          33.0   ,               48.0   ,                          48.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          6   ,                        241   ,                       70   ,                   5.0   , 0.7500   ,               41.1   ,                  2961   ,
2021-03-08 12:26:21 ,          26.0   ,            187.0   ,          33.0   ,               48.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          4   ,                        241   ,                       70   ,                   5.0   , 0.7500   ,               40.4   ,                  2961   ,
2021-03-08 12:26:22 ,          26.0   ,            187.0   ,          33.0   ,               47.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          3   ,                        241   ,                       70   ,                   5.0   , 0.7500   ,               40.1   ,                  2960   ,
2021-03-08 12:26:23 ,          26.0   ,            191.0   ,          33.0   ,               48.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          3   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               39.6   ,                  2960   ,
2021-03-08 12:26:24 ,          26.0   ,            169.0   ,          33.0   ,               47.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   48.0   ,                   49.0   ,              23   ,                   0   ,          0   ,                        241   ,                       70   ,                   5.0   , 0.7500   ,               38.9   ,                  2960   ,
2021-03-08 12:26:25 ,          26.0   ,            175.0   ,          33.0   ,               47.0   ,                          47.0   ,                  50.0   ,                   48.0   ,                   48.0   ,                   49.0   ,              23   ,                   0   ,          0   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               38.8   ,                  2960   ,
2021-03-08 12:26:26 ,          26.0   ,            173.0   ,          33.0   ,               47.0   ,                          47.0   ,                  50.0   ,                   48.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          6   ,                        241   ,                       70   ,                   5.0   , 0.7500   ,               38.8   ,                  2960   ,
2021-03-08 12:26:27 ,          26.0   ,            167.0   ,          33.0   ,               47.0   ,                          47.0   ,                  50.0   ,                   47.0   ,                   47.0   ,                   49.0   ,              23   ,                   0   ,          0   ,                        241   ,                       70   ,                   6.0   , 0.7500   ,               38.8   ,                  2959   ,
