        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-03 12:30:59 ,          26.0   ,            170.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               58.5   ,                  3853   ,
2021-07-03 12:31:00 ,          26.0   ,            193.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               56.9   ,                  3852   ,
2021-07-03 12:31:01 ,          26.0   ,            193.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       2263   ,                      135   ,                   7.0   , 0.8313   ,               55.4   ,                  3850   ,
2021-07-03 12:31:02 ,          26.0   ,            185.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               53.8   ,                  3850   ,
2021-07-03 12:31:03 ,          26.0   ,            193.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          5   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               52.1   ,                  3856   ,
2021-07-03 12:31:04 ,          26.0   ,            211.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,         14   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               50.6   ,                  3855   ,
2021-07-03 12:31:05 ,          26.0   ,            188.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       2263   ,                      135   ,                   8.0   , 0.7813   ,               49.1   ,                  3854   ,
2021-07-03 12:31:06 ,          26.0   ,            190.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          3   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               47.5   ,                  3854   ,
2021-07-03 12:31:07 ,          26.0   ,            192.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       2263   ,                      135   ,                   8.0   , 0.7813   ,               46.0   ,                  3851   ,
2021-07-03 12:31:08 ,          26.0   ,            188.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               44.6   ,                  3850   ,
2021-07-03 12:31:09 ,          26.0   ,            193.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               43.0   ,                  3849   ,
2021-07-03 12:31:10 ,          26.0   ,            184.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          3   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               41.5   ,                  3849   ,
2021-07-03 12:31:11 ,          26.0   ,            194.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               40.3   ,                  3849   ,
2021-07-03 12:31:12 ,          26.0   ,            190.0   ,          33.0   ,               35.0   ,                          38.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          3   ,                       2263   ,                      135   ,                   7.0   , 0.8313   ,               38.9   ,                  3848   ,
2021-07-03 12:31:13 ,          26.0   ,            192.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          3   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               38.8   ,                  3848   ,
2021-07-03 12:31:14 ,          26.0   ,            191.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          4   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               38.6   ,                  3848   ,
2021-07-03 12:31:15 ,          26.0   ,            169.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       2263   ,                      135   ,                   8.0   , 0.7813   ,               38.3   ,                  3854   ,
2021-07-03 12:31:16 ,          26.0   ,            175.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          5   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               38.3   ,                  3854   ,
2021-07-03 12:31:17 ,          26.0   ,            178.0   ,          33.0   ,               37.0   ,                          38.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               38.1   ,                  3854   ,
2021-07-03 12:31:18 ,          26.0   ,            176.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               37.9   ,                  3853   ,
2021-07-03 12:31:19 ,          26.0   ,            177.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          1   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               37.8   ,                  3853   ,
2021-07-03 12:31:20 ,          26.0   ,            174.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          4   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               37.5   ,                  3853   ,
2021-07-03 12:31:21 ,          26.0   ,            179.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               37.5   ,                  3853   ,
2021-07-03 12:31:22 ,          26.0   ,            177.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               37.5   ,                  3853   ,
2021-07-03 12:31:23 ,          26.0   ,            170.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               37.5   ,                  3852   ,
2021-07-03 12:31:24 ,          26.0   ,            169.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               37.5   ,                  3851   ,
2021-07-03 12:31:25 ,          26.0   ,            174.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                       2263   ,                      135   ,                   8.0   , 0.7813   ,               37.5   ,                  3851   ,
2021-07-03 12:31:26 ,          26.0   ,            172.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       2263   ,                      135   ,                   7.0   , 0.7813   ,               37.5   ,                  3851   ,
